model_key,iso3,country_name,bloc,region,n,flips,flip_rate,ci_low,ci_high,rank_desc,percentile,bucket
gemini2.5,GBR,United Kingdom,FiveEyes,Europe,15,0,0.000000,-0.000000,0.203889,248.000000,0.008032,Bottom 15
gemini2.5,ASM,American Samoa,Other,Other,15,0,0.000000,-0.000000,0.203889,248.000000,0.008032,Bottom 15
gemini2.5,GGY,Guernsey,Other,Other,15,0,0.000000,-0.000000,0.203889,248.000000,0.008032,Bottom 15
llama3.3,CUB,Cuba,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,IRN,"Iran, Islamic Republic of",Other,Asia,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,IRQ,Iraq,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,SYR,Syrian Arab Republic,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,YEM,Yemen,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,PRK,"Korea, Democratic People's Republic of",Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,PAK,Pakistan,Other,Asia,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,MMR,Myanmar,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,LBY,Libya,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,SDN,Sudan,Other,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,RUS,Russian Federation,BRICS,Other,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,VEN,"Venezuela, Bolivarian Republic of",Other,South America,15,11,0.733333,0.480491,0.891027,6.500000,0.977912,Top 15
llama3.3,BLR,Belarus,Other,Other,15,10,0.666667,0.417131,0.848239,14.500000,0.945783,Top 15
llama3.3,AFG,Afghanistan,Other,Other,15,10,0.666667,0.417131,0.848239,14.500000,0.945783,Top 15
llama3.3,CHN,China,BRICS,Asia,15,10,0.666667,0.417131,0.848239,14.500000,0.945783,Top 15
llama3.3,UGA,Uganda,Other,Africa,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,TZA,"Tanzania, United Republic of",Other,Africa,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,TUV,Tuvalu,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,TGO,Togo,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,VAT,Holy See (Vatican City State),Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,USA,United States,FiveEyes,North America,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,URY,Uruguay,Other,South America,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,VIR,"Virgin Islands, U.S.",Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,VGB,"Virgin Islands, British",Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,VCT,Saint Vincent and the Grenadines,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
llama3.3,VUT,Vanuatu,Other,Other,15,0,0.000000,-0.000000,0.203889,163.000000,0.349398,Bottom 15
